UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,anomaly,score
2320,M17179,M,299.2,308.8,1700,33.5,185,0,0,0,0,0,0,0,0.12005612206096777
2321,H31734,H,299.2,308.8,1440,39.1,188,0,0,0,0,0,0,0,0.14992316226164137
2322,M17181,M,299.2,308.8,1314,52.5,193,0,0,0,0,0,0,0,0.10776191065335466
2323,L49502,L,299.2,308.7,1514,41.9,196,0,0,0,0,0,0,0,0.14828477826068404
2324,M17183,M,299.2,308.7,1401,47.0,198,0,0,0,0,0,0,0,0.13742537571136038
2325,L49504,L,299.3,308.8,1636,29.9,201,0,0,0,0,0,0,0,0.11608475264871515
2326,L49505,L,299.3,308.8,1603,33.9,203,0,0,0,0,0,0,0,0.12243367787053161
2327,M17186,M,299.4,308.7,1487,52.6,205,0,0,0,0,0,0,0,0.10960297857022538
2328,M17187,M,299.3,308.7,1420,50.3,208,0,0,0,0,0,0,0,0.12174069423373496
2329,L49508,L,299.3,308.7,1579,36.3,211,0,0,0,0,0,0,0,0.11511706318433423
2330,L49509,L,299.3,308.7,1484,40.5,213,0,0,0,0,0,0,0,0.11925982677111252
2331,M17190,M,299.3,308.7,1390,49.3,215,0,0,0,0,0,0,0,0.09797039454613876
2332,L49511,L,299.3,308.6,1384,53.6,218,1,0,0,0,1,0,0,0.07442085706795654
2333,L49512,L,299.2,308.5,1378,50.4,220,1,0,0,0,1,0,0,0.07615278120520375
2334,L49513,L,299.2,308.5,1445,45.2,222,0,0,0,0,0,0,0,0.09066668254095755
2335,L49514,L,299.2,308.4,1445,43.5,224,0,0,0,0,0,0,0,0.08764502394581952
2336,L49515,L,299.2,308.4,1509,39.4,0,0,0,0,0,0,0,0,0.10867782852158853
2337,L49516,L,299.2,308.4,1434,46.8,2,0,0,0,0,0,0,0,0.10194076518812722
2338,L49517,L,299.2,308.4,1877,23.9,4,0,0,0,0,0,0,0,0.05206415837175371
2339,L49518,L,299.3,308.3,1651,28.0,6,0,0,0,0,0,0,0,0.09361100414597812
2340,L49519,L,299.2,308.2,1466,41.3,8,0,0,0,0,0,0,0,0.12301153576935281
2341,L49520,L,299.1,308.1,1479,40.7,10,0,0,0,0,0,0,0,0.12249043326947218
2342,L49521,L,299.1,308.2,1409,46.4,12,0,0,0,0,0,0,0,0.11505201284929528
2343,M17202,M,299.2,308.2,1674,28.2,14,0,0,0,0,0,0,0,0.09690410466403065
2344,L49523,L,299.1,308.3,1305,61.4,17,0,0,0,0,0,0,0,0.04697940622683627
2345,M17204,M,299.2,308.3,1755,26.4,19,0,0,0,0,0,0,0,0.08510877015655682
2346,L49525,L,299.2,308.4,1475,38.7,22,0,0,0,0,0,0,0,0.13340145381198099
2347,L49526,L,299.2,308.4,1402,47.7,24,0,0,0,0,0,0,0,0.12439845196642418
2348,L49527,L,299.2,308.3,1410,43.0,26,0,0,0,0,0,0,0,0.12749600333619865
2349,L49528,L,299.2,308.4,1436,41.8,28,0,0,0,0,0,0,0,0.1408641222201703
2350,M17209,M,299.3,308.5,1386,42.2,30,0,0,0,0,0,0,0,0.13381321748622632
2351,L49530,L,299.3,308.6,1744,26.4,33,0,0,0,0,0,0,0,0.10762333481682779
2352,L49531,L,299.2,308.4,1393,48.4,35,0,0,0,0,0,0,0,0.1253188311659758
2353,M17212,M,299.3,308.5,1422,45.4,37,0,0,0,0,0,0,0,0.1378806918677528
2354,L49533,L,299.2,308.4,1841,22.8,40,0,0,0,0,0,0,0,0.07831944448905781
2355,L49534,L,299.3,308.6,1433,37.7,42,0,0,0,0,0,0,0,0.14495012821757397
2356,M17215,M,299.3,308.5,1305,60.6,44,0,0,0,0,0,0,0,0.05804054542814863
2357,H31770,H,299.3,308.6,1498,39.5,47,0,0,0,0,0,0,0,0.1592836724948063
2358,L49537,L,299.3,308.5,1772,26.1,52,0,0,0,0,0,0,0,0.10361101648527044
2359,M17218,M,299.2,308.4,1381,42.5,54,0,0,0,0,0,0,0,0.1372960673276939
2360,L49539,L,299.3,308.5,1413,38.5,57,0,0,0,0,0,0,0,0.1405318512776803
2361,H31774,H,299.2,308.4,1388,53.2,59,0,0,0,0,0,0,0,0.12379499170998509
2362,M17221,M,299.2,308.6,1631,35.4,64,0,0,0,0,0,0,0,0.13948472602275175
2363,H31776,H,299.3,308.6,1520,41.4,67,0,0,0,0,0,0,0,0.16169706605935558
2364,L49543,L,299.3,308.5,1510,45.4,72,0,0,0,0,0,0,0,0.14713009413965783
2365,L49544,L,299.2,308.5,1366,49.7,74,0,0,0,0,0,0,0,0.13003729332143354
2366,L49545,L,299.4,308.5,1845,22.9,76,0,0,0,0,0,0,0,0.08234586216193074
2367,L49546,L,299.3,308.5,1485,44.7,78,0,0,0,0,0,0,0,0.1524516616378101
2368,M17227,M,299.3,308.5,1496,39.4,80,0,0,0,0,0,0,0,0.15966805386658778
2369,M17228,M,299.3,308.4,1468,42.2,83,0,0,0,0,0,0,0,0.15759297858222215
2370,M17229,M,299.2,308.4,1856,22.7,86,0,0,0,0,0,0,0,0.08729105995626041
2371,L49550,L,299.2,308.4,1620,34.1,89,0,0,0,0,0,0,0,0.14210734457384283
2372,L49551,L,299.3,308.5,1409,44.8,91,0,0,0,0,0,0,0,0.151313173704682
2373,M17232,M,299.3,308.5,1404,49.4,93,0,0,0,0,0,0,0,0.1412943634478367
2374,L49553,L,299.2,308.4,1350,51.3,96,0,0,0,0,0,0,0,0.13076659743596597
2375,M17234,M,299.2,308.4,1538,38.0,98,0,0,0,0,0,0,0,0.1587540262393634
2376,M17235,M,299.2,308.4,1476,32.7,101,0,0,0,0,0,0,0,0.14580341635734084
2377,M17236,M,299.2,308.3,1364,51.8,104,0,0,0,0,0,0,0,0.13106814444045795
2378,M17237,M,299.2,308.3,1582,45.5,107,0,0,0,0,0,0,0,0.1366286449615834
2379,L49558,L,299.1,308.2,1348,56.1,110,0,0,0,0,0,0,0,0.11329624205032163
2380,H31793,H,299.1,308.2,1450,46.1,112,0,0,0,0,0,0,0,0.1543993628976565
2381,L49560,L,299.0,308.1,1242,60.9,117,0,0,0,0,0,0,0,0.04083668023806686
2382,L49561,L,299.1,308.2,1493,34.9,119,0,0,0,0,0,0,0,0.15149787139491855
2383,L49562,L,299.1,308.3,1601,31.4,121,0,0,0,0,0,0,0,0.1397928798272446
2384,L49563,L,299.1,308.2,1568,33.3,123,0,0,0,0,0,0,0,0.14167760511849176
2385,M17244,M,299.1,308.3,1506,38.0,125,0,0,0,0,0,0,0,0.15872645241559535
2386,L49565,L,299.1,308.3,1524,34.1,128,0,0,0,0,0,0,0,0.15082251439910266
2387,L49566,L,299.1,308.4,1543,37.9,130,0,0,0,0,0,0,0,0.16263778876356416
2388,M17247,M,299.2,308.5,1474,47.2,132,0,0,0,0,0,0,0,0.1509079975837414
2389,M17248,M,299.2,308.5,1526,37.3,135,0,0,0,0,0,0,0,0.1609739627275698
2390,L49569,L,299.2,308.5,1867,27.0,138,0,0,0,0,0,0,0,0.08918721271151042
2391,L49570,L,299.2,308.5,1487,41.2,140,0,0,0,0,0,0,0,0.16310545418560213
2392,L49571,L,299.2,308.4,1580,32.6,142,0,0,0,0,0,0,0,0.14855655669182988
2393,L49572,L,299.2,308.5,1340,50.0,144,0,0,0,0,0,0,0,0.12333814969665813
2394,L49573,L,299.2,308.5,1544,41.6,146,0,0,0,0,0,0,0,0.15487396302997836
2395,L49574,L,299.2,308.5,1488,40.3,148,0,0,0,0,0,0,0,0.1617450408507774
2396,M17255,M,299.2,308.5,1742,28.9,150,0,0,0,0,0,0,0,0.11681610191594444
2397,M17256,M,299.1,308.5,1592,34.2,153,0,0,0,0,0,0,0,0.14891574094638826
2398,L49577,L,299.2,308.6,1582,38.8,156,0,0,0,0,0,0,0,0.1529067482010109
2399,L49578,L,299.2,308.5,1490,43.2,158,0,0,0,0,0,0,0,0.15902428815148117
2400,M17259,M,299.2,308.5,1594,35.8,160,0,0,0,0,0,0,0,0.14724305882964112
2401,H31814,H,299.2,308.6,1462,55.0,163,0,0,0,0,0,0,0,0.12509617769690073
2402,M17261,M,299.2,308.6,1367,47.6,168,0,0,0,0,0,0,0,0.14342596941383334
2403,L49582,L,299.2,308.7,1325,51.0,171,0,0,0,0,0,0,0,0.1257195800241444
2404,H31817,H,299.2,308.7,1448,51.4,173,0,0,0,0,0,0,0,0.14271486284887902
2405,M17264,M,299.1,308.7,2008,20.3,178,0,0,0,0,0,0,0,0.03521631740828535
2406,L49585,L,299.1,308.7,1498,38.9,181,0,0,0,0,0,0,0,0.1601320950736948
2407,L49586,L,299.1,308.6,1437,41.6,183,0,0,0,0,0,0,0,0.15425238931373136
2408,M17267,M,299.1,308.6,1499,45.1,185,0,0,0,0,0,0,0,0.15019060513882193
2409,L49588,L,299.0,308.4,1356,52.6,188,0,0,0,0,0,0,0,0.11519015973815061
2410,L49589,L,299.1,308.5,1539,46.8,190,0,0,0,0,0,0,0,0.12928126426577757
2411,L49590,L,299.1,308.5,1689,32.1,192,0,0,0,0,0,0,0,0.11384085272088518
2412,L49591,L,299.0,308.5,1559,38.1,194,0,0,0,0,0,0,0,0.1393905629565897
2413,L49592,L,299.1,308.6,1408,46.7,196,0,0,0,0,0,0,0,0.13948379828356489
2414,L49593,L,299.0,308.5,1886,23.0,198,0,0,0,0,0,0,0,0.046726359471468304
2415,L49594,L,299.1,308.5,1415,43.4,0,0,0,0,0,0,0,0,0.10056068599687812
2416,M17275,M,299.1,308.5,1587,35.6,2,0,0,0,0,0,0,0,0.10226000333973528
2417,L49596,L,299.0,308.4,1571,38.6,5,0,0,0,0,0,0,0,0.1182216793459035
2418,L49597,L,298.9,308.3,1576,36.6,7,0,0,0,0,0,0,0,0.11535793061764471
2419,L49598,L,298.9,308.3,1660,34.4,9,0,0,0,0,0,0,0,0.10437431388092272
2420,M17279,M,298.9,308.2,1328,49.2,11,0,0,0,0,0,0,0,0.09128535782633951
2421,H31834,H,298.8,308.2,1450,44.7,14,0,0,0,0,0,0,0,0.12803383539621466
2423,L49602,L,298.8,308.2,1443,53.4,21,0,0,0,0,0,0,0,0.0994949746171303
2424,M17283,M,298.9,308.2,2022,20.0,23,0,0,0,0,0,0,0,0.014065644234029229
2425,L49604,L,298.9,308.2,1828,23.8,26,0,0,0,0,0,0,0,0.06872706757543934
2426,L49605,L,298.8,308.1,1472,53.5,28,0,0,0,0,0,0,0,0.10502073124647737
2427,M17286,M,298.9,308.2,1372,63.6,30,1,0,0,1,0,0,0,0.05613639463978459
2428,L49607,L,298.9,308.3,1855,23.8,33,0,0,0,0,0,0,0,0.07715368274915602
2429,M17288,M,299.0,308.3,1377,47.2,35,0,0,0,0,0,0,0,0.1249641409367267
2430,L49609,L,298.9,308.3,1432,48.9,38,0,0,0,0,0,0,0,0.13312060062248848
2431,M17290,M,298.9,308.2,1335,47.8,40,0,0,0,0,0,0,0,0.11804561283576132
2432,M17291,M,298.9,308.2,1411,51.3,43,0,0,0,0,0,0,0,0.12838040236867349
2433,L49612,L,298.9,308.2,1510,43.5,46,0,0,0,0,0,0,0,0.14604695559733044
2434,L49613,L,299.0,308.3,1441,44.0,48,0,0,0,0,0,0,0,0.14551002118104805
2435,M17294,M,299.0,308.2,1358,42.7,50,0,0,0,0,0,0,0,0.1287934257085766
2436,L49615,L,298.9,308.2,1686,30.4,53,0,0,0,0,0,0,0,0.12378908856719006
2437,H31850,H,299.0,308.2,1662,30.4,55,0,0,0,0,0,0,0,0.12384193094395979
2438,L49617,L,299.1,308.3,1426,40.1,60,0,0,0,0,0,0,0,0.14671207281632526
2439,M17298,M,299.1,308.4,1330,53.6,62,0,0,0,0,0,0,0,0.11428801845156367
2440,L49619,L,299.1,308.4,1693,31.6,65,0,0,0,0,0,0,0,0.12435683054411217
2441,L49620,L,299.1,308.4,1426,47.9,67,0,0,0,0,0,0,0,0.14854413727979504
2442,L49621,L,299.1,308.5,1676,31.0,69,0,0,0,0,0,0,0,0.12935677565518366
2443,M17302,M,299.1,308.4,1332,51.7,71,0,0,0,0,0,0,0,0.11909130767578796
2444,L49623,L,299.1,308.5,1647,35.0,74,0,0,0,0,0,0,0,0.1348452856950329
2445,L49624,L,299.2,308.6,1267,68.2,76,1,0,0,1,0,0,0,0.02894877914266958
2446,H31859,H,299.2,308.7,1375,55.1,78,0,0,0,0,0,0,0,0.12733546417880365
2447,L49626,L,299.3,308.6,1422,48.9,83,0,0,0,0,0,0,0,0.15236317674087702
2448,L49627,L,299.3,308.7,1408,48.7,85,0,0,0,0,0,0,0,0.1526648938077388
2449,L49628,L,299.4,308.9,1440,42.5,87,0,0,0,0,0,0,0,0.17010079128052374
2450,L49629,L,299.3,308.8,1772,25.2,89,0,0,0,0,0,0,0,0.1043489995815719
2451,L49630,L,299.2,308.7,1492,37.8,91,0,0,0,0,0,0,0,0.16734608144743468
2452,L49631,L,299.2,308.7,1650,30.5,93,0,0,0,0,0,0,0,0.14706764560463292
2454,L49633,L,299.0,308.6,1648,30.8,98,0,0,0,0,0,0,0,0.14555548928679785
2455,L49634,L,299.0,308.6,1653,31.7,100,0,0,0,0,0,0,0,0.14461834221160913
2456,L49635,L,299.0,308.6,1946,22.3,102,0,0,0,0,0,0,0,0.07078319763376906
2457,L49636,L,299.1,308.6,1555,36.6,104,0,0,0,0,0,0,0,0.1603517967333848
2458,L49637,L,299.0,308.6,1661,32.2,106,0,0,0,0,0,0,0,0.14025026441379684
2459,L49638,L,299.0,308.6,1434,45.9,108,0,0,0,0,0,0,0,0.16306423060063452
2460,L49639,L,299.0,308.6,1297,54.2,110,0,0,0,0,0,0,0,0.11177274178524399
2461,L49640,L,299.0,308.6,1466,46.4,112,0,0,0,0,0,0,0,0.16349221305473266
2462,M17321,M,298.9,308.6,1517,39.8,114,0,0,0,0,0,0,0,0.17680876329495243
2463,L49642,L,298.9,308.5,1742,34.5,117,0,0,0,0,0,0,0,0.12526871653073762
2464,L49643,L,298.9,308.5,1580,39.1,119,0,0,0,0,0,0,0,0.1578430320998786
2465,M17324,M,298.9,308.5,1534,42.9,121,0,0,0,0,0,0,0,0.16378822383795721
2466,L49645,L,298.9,308.6,1481,40.7,124,0,0,0,0,0,0,0,0.17237672616237054
2467,L49646,L,299.0,308.6,1429,37.7,126,0,0,0,0,0,0,0,0.1603935989992626
2468,M17327,M,298.9,308.6,1574,33.5,128,0,0,0,0,0,0,0,0.1599025284918152
2469,M17328,M,298.9,308.6,1524,40.4,131,0,0,0,0,0,0,0,0.17188114978458247
2470,L49649,L,299.0,308.7,1507,37.5,134,0,0,0,0,0,0,0,0.17141567612007225
2471,L49650,L,298.9,308.5,1467,44.7,136,0,0,0,0,0,0,0,0.1640147866876025
2472,L49651,L,298.9,308.4,1301,51.1,138,0,0,0,0,0,0,0,0.11340036544755416
2473,L49652,L,298.9,308.5,1429,55.1,140,0,0,0,0,0,0,0,0.12741424579015403
2474,M17333,M,298.9,308.5,1555,37.6,142,0,0,0,0,0,0,0,0.16041845364452506
2475,L49654,L,298.9,308.5,1503,40.6,145,0,0,0,0,0,0,0,0.16695397222894004
2476,L49655,L,298.9,308.5,1459,43.1,147,0,0,0,0,0,0,0,0.16500242359672573
2477,H31890,H,298.9,308.4,1449,42.4,149,0,0,0,0,0,0,0,0.1641354955382845
2478,L49657,L,298.9,308.5,1387,57.3,154,0,0,0,0,0,0,0,0.10807339652756515
2479,M17338,M,298.9,308.5,1456,50.0,156,0,0,0,0,0,0,0,0.14554486987181492
2480,L49659,L,299.0,308.5,1604,34.7,159,0,0,0,0,0,0,0,0.14485546907406927
2481,L49660,L,299.0,308.6,1734,32.4,161,0,0,0,0,0,0,0,0.12535671198464993
2482,L49661,L,299.0,308.6,1378,47.8,163,0,0,0,0,0,0,0,0.14945325270428528
2483,L49662,L,298.9,308.7,1504,41.8,165,0,0,0,0,0,0,0,0.1692043826527047
2484,M17343,M,298.9,308.7,1402,49.8,167,0,0,0,0,0,0,0,0.1507237657503835
2485,H31898,H,298.8,308.6,1524,37.7,170,0,0,0,0,0,0,0,0.16014887463016464
2486,L49665,L,298.8,308.6,1593,35.5,175,0,0,0,0,0,0,0,0.1511143148949311
2487,M17346,M,298.9,308.7,1772,28.4,177,0,0,0,0,0,0,0,0.10570354245017011
2488,H31901,H,298.9,308.6,1623,31.0,180,0,0,0,0,0,0,0,0.13686815431254157
2489,L49668,L,298.9,308.7,1356,50.7,185,0,0,0,0,0,0,0,0.13408832089753842
2490,H31903,H,298.9,308.7,1500,41.6,187,0,0,0,0,0,0,0,0.1536617910565819
2491,H31904,H,299.1,308.8,1566,46.6,192,0,0,0,0,0,0,0,0.1283629422107906
2492,L49671,L,299.1,308.9,1445,43.4,197,0,0,0,0,0,0,0,0.15303394619675081
2493,H31906,H,299.0,308.8,1382,58.5,199,0,0,0,0,0,0,0,0.09152065014261812
2494,M17353,M,299.0,308.8,1418,45.7,204,0,0,0,0,0,0,0,0.1370477311822716
2495,L49674,L,299.1,308.8,1329,53.6,207,1,0,0,0,1,0,0,0.0993729389230929
2496,M17355,M,299.1,308.8,1491,41.0,209,0,0,0,0,0,0,0,0.13212757676249226
2497,M17356,M,299.2,308.9,1573,37.4,212,0,0,0,0,0,0,0,0.12593556354231283
2498,M17357,M,299.2,308.9,1521,42.3,215,0,0,0,0,0,0,0,0.12227444635627194
2499,L49678,L,299.1,308.9,1467,47.2,218,0,0,0,0,0,0,0,0.10322581906455036
2500,M17359,M,299.1,308.9,1325,48.4,220,0,0,0,0,0,0,0,0.0715603969560542
2501,L49680,L,299.1,308.9,1617,32.3,223,0,0,0,0,0,0,0,0.08617472738933585
2502,M17361,M,299.1,308.9,1476,42.7,225,0,0,0,0,0,0,0,0.10221096001910152
2503,L49682,L,299.2,309.0,1515,48.9,228,1,0,0,0,1,0,0,0.07782844262237032
2504,L49683,L,299.2,309.0,1408,47.2,0,0,0,0,0,0,0,0,0.11484814125367537
2505,L49684,L,299.2,309.1,1468,45.6,2,0,0,0,0,0,0,0,0.1256092473782885
2506,L49685,L,299.2,309.1,1387,48.7,4,0,0,0,0,0,0,0,0.11947831603688414
2507,M17366,M,299.2,309.1,1503,34.7,6,0,0,0,0,0,0,0,0.14123674348641851
2508,H31921,H,299.2,309.1,1410,47.1,9,0,0,0,0,0,0,0,0.13542121743301638
2509,L49688,L,299.0,308.9,1615,30.6,14,0,0,0,0,0,0,0,0.12098304587540065
2510,L49689,L,299.0,308.9,1511,35.9,16,0,0,0,0,0,0,0,0.14444702144736482
2511,L49690,L,299.1,309.0,1405,53.8,18,0,0,0,0,0,0,0,0.12005011033156332
2512,M17371,M,299.0,308.9,1526,41.1,20,0,0,0,0,0,0,0,0.14927061143833914
2513,L49692,L,298.9,308.8,1530,38.3,23,0,0,0,0,0,0,0,0.1496261383892551
2514,L49693,L,299.0,308.7,1583,32.5,25,0,0,0,0,0,0,0,0.1330698025619873
2515,L49694,L,298.9,308.6,2069,18.7,27,0,0,0,0,0,0,0,0.00643494536785072
2516,L49695,L,298.8,308.5,1490,35.0,29,0,0,0,0,0,0,0,0.14762097156541837
2517,L49696,L,298.8,308.5,1736,29.0,31,0,0,0,0,0,0,0,0.11758665619110387
2518,L49697,L,298.8,308.5,1395,44.4,33,0,0,0,0,0,0,0,0.13877961827683177
2519,M17378,M,298.9,308.6,1425,49.6,35,0,0,0,0,0,0,0,0.13518774014731744
2520,L49699,L,298.8,308.6,1631,32.4,38,0,0,0,0,0,0,0,0.13908136303022517
2521,L49700,L,298.8,308.6,1535,41.2,40,0,0,0,0,0,0,0,0.16331032162959525
2522,L49701,L,298.8,308.6,1584,34.4,42,0,0,0,0,0,0,0,0.14865759075388224
2523,M17382,M,298.8,308.7,1543,38.2,44,0,0,0,0,0,0,0,0.16273759746647204
2524,L49703,L,298.8,308.7,1635,35.2,47,0,0,0,0,0,0,0,0.1436500118185644
2525,M17384,M,298.8,308.7,1446,45.5,49,0,0,0,0,0,0,0,0.1565455985647735
2526,M17385,M,298.8,308.6,1598,35.1,52,0,0,0,0,0,0,0,0.14786079537909208
2527,L49706,L,298.8,308.6,1501,35.0,55,0,0,0,0,0,0,0,0.15960971223853032
2528,L49707,L,298.8,308.5,1450,50.8,57,0,0,0,0,0,0,0,0.1396553811339431
2529,L49708,L,298.8,308.6,1730,25.9,59,0,0,0,0,0,0,0,0.11549605167383198
2530,M17389,M,298.8,308.6,1571,33.7,61,0,0,0,0,0,0,0,0.15454815087024948
2531,L49710,L,298.9,308.7,1438,51.7,64,0,0,0,0,0,0,0,0.14314170946910532
2532,M17391,M,298.8,308.5,1510,38.7,66,0,0,0,0,0,0,0,0.1641036343349377
2533,L49712,L,298.9,308.7,1389,44.9,69,0,0,0,0,0,0,0,0.15295008113251046
2534,L49713,L,298.8,308.7,1490,33.6,71,0,0,0,0,0,0,0,0.15830573026424344
2535,L49714,L,298.9,308.7,1729,26.6,73,0,0,0,0,0,0,0,0.11989104743161627
2536,L49715,L,299.0,308.8,1495,38.4,75,0,0,0,0,0,0,0,0.1657080827084083
2537,L49716,L,298.9,308.8,1281,53.9,77,0,0,0,0,0,0,0,0.09663989947463603
2538,H31951,H,298.9,308.7,1353,48.1,79,0,0,0,0,0,0,0,0.1430927860513338
2539,L49718,L,299.1,308.8,1429,50.1,84,0,0,0,0,0,0,0,0.15355385849405007
2540,L49719,L,299.1,308.8,1413,42.1,86,0,0,0,0,0,0,0,0.16573018421731245
2541,L49720,L,299.1,308.8,1502,38.3,88,0,0,0,0,0,0,0,0.16884771990128838
2542,H31955,H,299.1,308.8,1553,32.6,90,0,0,0,0,0,0,0,0.1568575902616312
2543,H31956,H,299.2,308.9,1712,26.4,95,0,0,0,0,0,0,0,0.12440905604516905
2544,L49723,L,299.3,309.0,1786,23.5,100,0,0,0,0,0,0,0,0.1069655388188751
2545,L49724,L,299.2,309.0,1951,21.4,102,0,0,0,0,0,0,0,0.07387566327328854
2546,M17405,M,299.2,309.0,1541,36.3,104,0,0,0,0,0,0,0,0.17331587777496654
2547,L49726,L,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,0,0.16309714533249553
2548,L49727,L,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,0,0.17467412364317814
2549,M17408,M,299.3,309.2,1440,37.5,111,0,0,0,0,0,0,0,0.17491434873214612
2550,L49729,L,299.4,309.2,1489,42.3,114,0,0,0,0,0,0,0,0.17915718415413984
2551,L49730,L,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,0,0.15542239208966346
2552,L49731,L,299.3,309.2,1541,37.2,118,0,0,0,0,0,0,0,0.17745194514210932
2553,H31966,H,299.3,309.1,1552,40.7,120,0,0,0,0,0,0,0,0.1734104452470951
2554,L49733,L,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,0,0.17823052707653197
2555,L49734,L,299.3,309.1,1531,37.9,127,0,0,0,0,0,0,0,0.17975730199657453
2556,L49735,L,299.3,309.2,1511,37.2,129,0,0,0,0,0,0,0,0.17806810318712868
2557,M17416,M,299.3,309.1,1449,47.9,131,0,0,0,0,0,0,0,0.16868313852890465
2558,M17417,M,299.4,309.1,1440,50.0,134,0,0,0,0,0,0,0,0.16111701188938704
2559,M17418,M,299.2,309.0,1881,23.9,137,0,0,0,0,0,0,0,0.09186087708183488
2560,L49739,L,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,0,0.1591559601471555
2561,M17420,M,299.4,309.1,1326,62.0,142,0,0,0,0,0,0,0,0.09237538422450403
2562,L49741,L,299.4,309.2,1607,31.7,145,0,0,0,0,0,0,0,0.1636925534826622
2563,L49742,L,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,0,0.17499922963386627
2564,L49743,L,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,0,0.17550387182696942
2565,L49744,L,299.3,309.1,1493,38.0,151,0,0,0,0,0,0,0,0.17564582934126494
2566,L49745,L,299.4,309.1,1304,50.5,153,0,0,0,0,0,0,0,0.12800953171382995
2567,M17426,M,299.3,309.0,1420,41.6,155,0,0,0,0,0,0,0,0.174542491299639
2568,L49747,L,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,0,0.11081056602432787
2569,L49748,L,299.6,309.2,1450,43.1,160,0,0,0,0,0,0,0,0.17440906984689003
2570,H31983,H,299.5,309.2,1872,22.6,162,0,0,0,0,0,0,0,0.0871171100891448
2571,L49750,L,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,0,0.1242831052638444
2572,M17431,M,299.5,309.2,1497,40.9,169,0,0,0,0,0,0,0,0.17087883111261948
2573,M17432,M,299.4,309.1,1352,44.7,172,0,0,0,0,0,0,0,0.1471185517191742
2574,L49753,L,299.5,309.2,1499,41.5,175,0,0,0,0,0,0,0,0.1678414370811055
2575,L49754,L,299.5,309.3,1972,19.3,177,0,0,0,0,0,0,0,0.052198699032109275
2576,L49755,L,299.5,309.3,1422,49.2,179,0,0,0,0,0,0,0,0.15854945850656765
2577,L49756,L,299.5,309.3,1523,41.5,181,0,0,0,0,0,0,0,0.1677079026942968
2578,L49757,L,299.5,309.4,1563,41.5,183,0,0,0,0,0,0,0,0.15696596061376444
2579,L49758,L,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,0,0.15709556083972687
2580,L49759,L,299.3,309.1,1795,24.7,187,0,0,0,0,0,0,0,0.08359647248916935
2581,L49760,L,299.3,309.1,1293,53.7,189,0,0,0,0,0,0,0,0.10025437745955817
2582,L49761,L,299.2,309.1,1345,60.7,191,1,0,0,0,1,0,0,0.0879379964131436
2583,L49762,L,299.2,309.0,1615,33.7,193,0,0,0,0,0,0,0,0.14271675653017413
2584,L49763,L,299.2,308.9,1342,50.8,195,0,0,0,0,0,0,0,0.1267762539369638
2585,L49764,L,299.1,308.8,1502,46.7,197,0,0,0,0,0,0,0,0.13876107341927502
2586,M17445,M,299.0,308.7,1620,35.4,199,0,0,0,0,0,0,0,0.13324484629940825
2587,L49766,L,299.0,308.7,1537,42.8,202,0,0,0,0,0,0,0,0.14052472316249603
2589,L49768,L,299.0,308.7,1706,28.6,206,0,0,0,0,0,0,0,0.10027299858187338
2591,L49770,L,299.0,308.7,1396,48.6,0,0,0,0,0,0,0,0,0.09692366033750216
2592,L49771,L,298.9,308.6,1522,46.4,2,0,0,0,0,0,0,0,0.10568596125185731
2593,L49772,L,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,0,0.11389789640726383
2594,H32007,H,298.9,308.5,1415,54.0,6,0,0,0,0,0,0,0,0.0973915403953613
2595,L49774,L,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,0,0.13002086805050905
2596,M17455,M,298.8,308.6,1486,41.1,13,0,0,0,0,0,0,0,0.14321529140098804
2597,L49776,L,299.0,308.7,1426,38.6,16,0,0,0,0,0,0,0,0.13089958021433312
2598,L49777,L,299.0,308.7,1449,38.9,18,0,0,0,0,0,0,0,0.13900302721035357
2599,L49778,L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0,0,0.036768090361170125
2600,M17459,M,299.2,308.9,1447,39.6,22,0,0,0,0,0,0,0,0.15035621955762735
2601,L49780,L,299.3,309.0,1422,47.3,25,0,0,0,0,0,0,0,0.14446731444849337
2602,L49781,L,299.3,309.1,1399,52.1,27,0,0,0,0,0,0,0,0.13373291244873065
2603,L49782,L,299.4,309.2,1427,41.5,29,0,0,0,0,0,0,0,0.1599122236752356
2604,M17463,M,299.3,309.2,1334,46.3,31,0,0,0,0,0,0,0,0.13394130635455476
2605,M17464,M,299.3,309.1,1385,45.6,34,0,0,0,0,0,0,0,0.14998355394418306
2606,L49785,L,299.4,309.2,1552,37.4,37,0,0,0,0,0,0,0,0.16714016069026216
